ID,histo_ID,group,group2,cage,cage_ID,OGTT_24w,fibrosis_score,steatosis,lob_inflammation,ballooning,NAS_score,weight_sacrifice,weight_liver,liver_bodyweight_ratio,weight_parametrialfatpad,parametrialfatpad_bodyweight_ratio,intestine_length,ALT_17w,ALT_24w,ALT_40w,steatosis_MT,lob_inflammation_MT,ballooning_MT,NAS_score_MT,rel_fibrosis_Qpath,rel_steatosis_Qpath,Bedossa_et_al.,DDCT_MCP1,DDCT_TLR4,DDCT_iNOS,DDCT_MHCII,DDCT_CD274,DDCT_IL10,DDCT_CD163,DDCT_SREBP1,DDCT_FASN,DDCT_Serpine,DDCT_Myd88,DDCT_FGF21,DDCT_CPT1A,DDCT_FGFR4,MT2_number_vacuoles,MT2_number_nuclei,MT2_mean_size_vacuoles,MT2_ratio_surface,MT2_ratio_cells
6,19TOS01,F_ND,ND,E-582,1,1217,0,0,0,0,0,24,0.822,0.034,0.653,0.027,30,11.7,15.28,NA,0,0,0,0,0.034109242,0.31053385,No NAFLD,0.940826108,1.439931319,0.750539549,1.494849249,1.510472586,1.387030969,1.89736863,0.877213549,1.134455485,0.345318612,2.305372694,1.056897399,0.97199265,1.249735504,110,47345,347.0272727,0.164161272,0.23
7,19TOS02,F_ND,ND,E-582,2,1132,0,1,1,0,2,30,0.951,0.032,1.335,0.045,35,13.54,13.96,NA,0,0,1,1,0.216628178,0.287868052,No NAFLD,0.563309614,0.976708529,0.787853886,1.132883885,0.942784536,0.853817714,0.71400199,1.087488391,1.655193632,1.046810282,0.626332219,2.640526815,0.687774614,1.225342027,278,67464,312.3381295,0.262604883,0.41
8,19TOS03,F_ND,ND,E-582,3,1416,1,0,0,0,0,28,0.827,0.03,1.348,0.048,32,17.92,10,NA,0,0,0,0,0.593594673,0.441191302,No NAFLD,0.595428425,1.043188594,2.339175328,0.666649339,1.038859103,0.429878243,0.958599438,0.829894586,0.549808075,0.821310701,0.675955417,0.815241251,1.052982119,1.199396278,121,63474,370.4297521,0.152411003,0.19
9,19TOS04,F_ND,ND,E-582,4,1229,0,0,0,0,0,26,0.903,0.035,0.982,0.038,30,15.36,10.98,NA,0,0,0,0,0.039818044,0.414524409,No NAFLD,0.753667455,0.973329374,2.182527754,0.550952558,1.003471749,0.756283999,1.052631155,1.386069886,1.084477409,1.306765254,0.917004043,0.353123669,1.029845137,0.708809391,220,94788,331.6363636,0.163095149,0.23
10,19TOS05,F_ND,ND,E-582,5,1237,0,1,0,0,1,25,0.851,0.034,0.869,0.035,31,NA,12.2,NA,1,0,0,1,0.119303858,0.308261729,NAFLD,1.062159186,0.892546971,0.331251754,1.607701981,0.962594443,1.363202607,0.73153561,0.911301281,0.893165852,2.577549261,1.117287138,1.035182111,1.379424572,0.75015208,181,72153,304.2044199,0.157581619,0.25
1,19TOS06,F_HFD,HFD,E-601,1,1389,0,2.5,0,1,3.5,32,1.113,0.035,1.228,0.038,29.2,45.2,29.4,NA,1,1,0,2,0.045833939,0.39483687,NAFLD,0.937571096,1.141554707,1.262252032,2.838246712,1.148698355,0.740719899,1.056285625,0.724973416,1.040300267,1.338855257,0.976031761,2.964028103,1.284975726,0.763013594,243,52126,311.6666667,0.281475929,0.47
2,19TOS07,F_HFD,HFD,E-601,2,1409,1,3,0,1,4,32,1.18,0.037,1.202,0.038,29,132.2,110,NA,0,0,0,0,1.184774451,0.250617454,No NAFLD,0.446582926,0.722465199,1.980685744,0.699792933,0.763129604,0.679243142,0.971980988,0.838568184,1.001387256,1.028826708,0.979420298,46.20926831,1.964677235,1.038493426,714,65242,175.337535,0.379620909,1.09
3,19TOS08,F_HFD,HFD,E-601,3,1244,1,2,0,0,2,25,0.883,0.035,0.642,0.026,32,21,19.34,NA,0,0,0,0,0.255469269,0.203072451,No NAFLD,0.642603169,1.046810282,8.821353305,0.955945318,0.979420298,1.396678532,1.124278924,0.790589117,0.853817714,1.194163187,1.117287138,27.22122184,1.828729762,1.048917685,112,61056,285.4642857,0.107386817,0.18
4,19TOS09,F_HFD,HFD,E-601,4,1532,0,3,0,1.5,4.5,32,1.135,0.035,1.384,0.043,28,34.4,22.2,NA,1,0,0,1,1.29903317,4.721653767,NAFLD,1.267512522,0.85027416,3.075881663,0.936272247,1.164733586,0.816203046,1.155886707,0.871154192,1.954771533,0.419284092,0.907519155,3.329765733,1.319144548,0.853838887,1852,76821,173.1133909,0.886024847,2.41
5,19TOS10,F_HFD,HFD,E-601,5,996.8,2,2,3,0,5,31,0.727,0.023,1.062,0.034,31,56.4,23.8,NA,1,0,1,2,0.25018461,0.418365913,NAFLD,2.932233514,1.362258035,5.582843056,4.500233939,1.00695555,1.743516479,0.006633564,0.74277646,0.362738052,2.220677667,1.630144665,5.44740057,1.646896554,1.569354618,392,27019,281.0688776,0.702861133,1.45
19,20TOS01,M_ND,ND,E-581,1,1343,1,0,0,0,0,39,1.374,0.035,1.741,0.045,33,24,21.2,29.3,0,0,0,0,1.144940436,0.353329219,No NAFLD,0.363493129,0.813379198,0.463294031,1.479387509,NA,0.689680461,NA,NA,0.928516852,NA,NA,0.386398587,0.817993749,0.872764306,98,33945,300.6938776,0.156051844,0.29
20,20TOS02,M_ND,ND,E-581,2,1482,1,0,0,0,0,38,1.28,0.034,2.131,0.056,36,22.2,20.8,20.4,0,0,0,0,0.614879061,0.183960139,No NAFLD,2.602683711,1.593280193,2.242332156,0.942784536,NA,1.132098902,NA,NA,2.103803558,NA,NA,2.676584935,0.589430424,0.604632678,414,70918,204.5144928,0.218291412,0.58
21,20TOS03,M_ND,ND,E-581,3,1535,1,0,0,0,0,35,1.293,0.037,2.224,0.064,33,40.8,23.6,13.8,0,0,0,0,0.866009788,0.189085631,No NAFLD,1.156688184,0.758909626,1.261377409,1.121166078,NA,0.645728675,NA,NA,1.599920257,NA,NA,1.490806212,1.204214785,0.979974725,178,52261,304.6067416,0.192352113,0.34
22,20TOS04,M_ND,ND,E-581,4,1522,0,1,0,0,1,30,1.09,0.036,1.407,0.047,31,26.6,17.66,8.8,0,0,0,0,0.282362301,0.387566963,No NAFLD,1.526259209,1.040300267,0.692554734,0.846745312,NA,1.727876375,NA,NA,0.759435845,NA,NA,0.980841183,1.509521663,1.441219805,423,104043,283.7068558,0.210141716,0.41
23,20TOS05,M_ND,ND,E-581,6,1515,2,1,0,0,1,40,1.278,0.032,2.201,0.055,32,27.6,27.8,5,2,0,0,2,0.262582385,0.700633587,NAFLD,0.598739352,0.977385766,1.101905116,0.755236293,NA,1.147902414,NA,NA,0.421323415,NA,NA,0.661246757,1.140969832,1.299949067,5488,127780,219.664723,1.613660332,4.29
14,20TOS06,M_HFD,HFD,E-787,1,2187,1,3,0,2,5,46,2.15,0.047,2.68,0.058,33,5,24.3,74.5,2,1,1,4,0.596537907,12.45958731,NASH,0.666649339,0.821880187,1.128964405,1.375541818,NA,0.397492625,NA,NA,1.857033705,NA,NA,9.012712074,1.551820083,2.725620674,12047,86930,238.4373703,5.497028955,13.86
15,20TOS07,M_HFD,HFD,E-787,2,1939,3,1,1,1,3,28,1.03,0.037,0.43,0.015,32,19.5,25,18.2,1,1,1,3,6.725768297,3.231189335,NASH,1.252664439,1.312211255,0.635075491,4.155436413,NA,0.04192632,NA,NA,0.216584214,NA,NA,3.56649359,0.480133126,1.011616541,690,64765,239.5188406,0.432969058,1.07
16,20TOS08,M_HFD,HFD,E-787,3,1773,1,1,0,0,1,27,1.4,0.052,0.51,0.019,29,36.5,31.7,26.7,0,0,0,0,0.574060018,0.237063762,No NAFLD,0.979420298,0.674551267,0.864537231,0.664342907,NA,0.268687293,NA,NA,2.053379091,NA,NA,7.220552574,0.929231037,2.140119891,571,113744,232.8056042,0.206839772,0.5
17,20TOS09,M_HFD,HFD,E-787,4,1340,1,2,0,0,2,34,1.67,0.049,1.32,0.039,34,22.8,23.2,38,0,0,0,0,1.249625857,0.29132627,No NAFLD,1.542210825,0.683967652,1.218410264,0.792784137,NA,0.455019412,NA,NA,1.229438867,NA,NA,9.164043522,1.633520217,3.802945313,175,59621,347.3714286,0.179820634,0.29
18,20TOS10,M_HFD,HFD,E-787,5,2240,1,2,0,0,2,40,1.9,0.048,2.02,0.051,32,32.5,29.5,55.3,0,0,0,0,3.132267607,1.919575242,No NAFLD,5.259771041,1.411275843,0.420448208,1.8276629,NA,1.589970502,NA,NA,1.566994374,NA,NA,4.094626356,0.596970609,1.275965915,466,108208,297.6845494,0.219110399,0.43
11,20TOS11,M_HFD,HFD,E-741,2,1223,1,0,0,0,0,NA,NA,NA,NA,NA,NA,19.7,16.5,22.2,0,0,0,0,2.832788579,1.10983411,No NAFLD,46.68865102,10.94348243,4.469148552,0.227667458,NA,0.554400322,NA,NA,0.703684188,NA,NA,47.590163,0.220613272,1.458424516,69,57428,282.5507246,0.061584382,0.12
12,20TOS12,M_HFD,HFD,E-742,3,1768,1,0,0,0,0,NA,NA,NA,NA,NA,NA,24.6,21.4,29.8,0,0,0,0,3.255674951,0.32161017,No NAFLD,1.834008086,1.21167266,1.808758755,0.939522749,NA,0.749499801,NA,NA,0.386355275,NA,NA,35.73391819,2.422039188,NA,173,76821,329.3526012,0.119946626,0.23
13,20TOS13,M_HFD,HFD,E-742,4,1897,0,0,0,0,0,NA,NA,NA,NA,NA,NA,30.2,20.3,23.2,0,0,0,0,1.913344244,0.430365054,No NAFLD,0.44288376,0.893165852,5.187358219,0.678302164,NA,1.020304659,NA,NA,0.988285652,NA,NA,82.08459159,1.754475168,NA,236,77197,351.7923729,0.192024033,0.31
